Name           :	Sample4	
User           :		
Date           :	2023-xx-xx	

Probe1         :		
Perimeter      : 		

Probe2         :		
Perimeter      : 		

Trough         :		
Width          :		
Area           :		
Symmetric comp :		

Subphase       :		
Surface tension:		
pH             :		
Temperature    :		

Addition       :		
Concentration  :		
Unit           :	         	

Substance1     :		
MW             :		
Concentration  :		
Unit           :	           	
Volume         :		

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
0,02	0,000	0,000	239,25	1554,20	6,7092	0,0000	24,74	-4,879	0,62	0,000
1,08	0,126	10,000	239,06	1552,98	6,7019	0,0000	24,74	-4,879	0,62	0,000
2,20	0,308	10,000	238,79	1551,20	6,7003	0,0000	24,74	-4,879	0,62	0,000
3,34	0,491	10,000	238,51	1549,42	6,7121	0,0000	24,74	-4,879	0,62	0,000
4,43	0,676	10,000	238,24	1547,62	6,7211	0,0000	24,74	-4,879	0,62	0,000
5,57	0,858	10,000	237,96	1545,84	6,7235	0,0000	24,74	-4,879	0,62	0,000
6,68	1,042	10,000	237,69	1544,05	6,7352	0,0000	24,74	-4,879	0,62	0,000
7,81	1,241	10,000	237,39	1542,11	6,7428	0,0000	24,74	-4,879	0,62	0,000
8,93	1,424	10,000	237,11	1540,32	6,7518	0,0000	24,74	-4,879	0,62	0,000
10,07	1,606	10,000	236,84	1538,55	6,7601	0,0000	24,74	-4,879	0,62	0,000
11,18	1,790	10,000	236,57	1536,76	6,7644	0,0000	24,74	-4,879	0,62	0,000
12,32	1,972	10,000	236,29	1534,99	6,7653	0,0000	24,74	-4,879	0,62	0,000
13,45	2,173	10,000	235,99	1533,03	6,7719	0,0000	24,74	-4,879	0,62	0,000
14,57	2,356	10,000	235,72	1531,24	6,7849	0,0000	24,74	-4,879	0,62	0,000
15,68	2,538	10,000	235,44	1529,47	6,7940	0,0000	24,74	-4,879	0,62	0,000
16,81	2,722	10,000	235,17	1527,68	6,8118	0,0000	24,74	-4,879	0,62	0,000
17,93	2,905	10,000	234,89	1525,89	6,8237	0,0000	24,74	-4,879	0,62	0,000
19,06	3,106	10,000	234,59	1523,93	6,8409	0,0000	24,74	-4,879	0,62	0,000
20,18	3,288	10,000	234,32	1522,16	6,8510	0,0000	24,74	-4,879	0,62	0,000
21,31	3,472	10,000	234,04	1520,37	6,8586	0,0000	24,74	-4,879	0,62	0,000
22,45	3,655	10,000	233,77	1518,59	6,8701	0,0000	24,74	-4,879	0,62	0,000
23,56	3,838	10,000	233,49	1516,80	6,8841	0,0000	24,74	-4,879	0,62	0,000
24,68	4,040	10,000	233,19	1514,84	6,8939	0,0000	24,74	-4,879	0,62	0,000
25,82	4,222	10,000	232,92	1513,07	6,9056	0,0000	24,74	-4,879	0,62	0,000
26,93	4,405	10,000	232,64	1511,28	6,9208	0,0000	24,74	-4,879	0,62	0,000
28,06	4,590	10,000	232,37	1509,48	6,9293	0,0000	24,74	-4,879	0,62	0,000
29,18	4,772	10,000	232,09	1507,71	6,9425	0,0000	24,74	-4,879	0,62	0,000
30,32	4,972	10,000	231,79	1505,76	6,9572	0,0000	24,74	-4,879	0,62	0,000
31,45	5,156	10,000	231,52	1503,96	6,9702	0,0000	24,74	-4,879	0,62	0,000
32,57	5,338	10,000	231,24	1502,18	6,9817	0,0000	24,74	-4,879	0,62	0,000
33,70	5,523	10,000	230,97	1500,39	6,9881	0,0000	24,74	-4,879	0,62	0,000
34,82	5,706	10,000	230,69	1498,60	6,9982	0,0000	24,74	-4,879	0,62	0,000
35,95	5,905	10,000	230,39	1496,66	7,0152	0,0000	24,74	-4,879	0,62	0,000
37,06	6,088	10,000	230,12	1494,88	7,0327	0,0000	24,74	-4,879	0,62	0,000
38,18	6,272	10,000	229,84	1493,09	7,0404	0,0000	24,74	-4,879	0,62	0,000
39,32	6,456	10,000	229,57	1491,29	7,0708	0,0000	24,74	-4,879	0,62	0,000
40,43	6,638	10,000	229,29	1489,52	7,0849	0,0000	24,74	-4,879	0,62	0,000
41,57	6,838	10,000	228,99	1487,57	7,0862	0,0000	24,74	-4,879	0,62	0,000
42,70	7,023	10,000	228,72	1485,77	7,1028	0,0000	24,74	-4,879	0,62	0,000
43,81	7,206	10,000	228,44	1483,98	7,1070	0,0000	24,74	-4,879	0,62	0,000
44,95	7,388	10,000	228,17	1482,21	7,1242	0,0000	24,74	-4,879	0,62	0,000
46,07	7,571	10,000	227,89	1480,42	7,1364	0,0000	24,74	-4,879	0,62	0,000
47,20	7,755	10,000	227,62	1478,64	7,1499	0,0000	24,74	-4,879	0,62	0,000
48,32	7,955	10,000	227,32	1476,69	7,1609	0,0000	24,74	-4,879	0,62	0,000
49,43	8,138	10,000	227,04	1474,90	7,1711	0,0000	24,74	-4,879	0,62	0,000
50,57	8,323	10,000	226,77	1473,10	7,1768	0,0000	24,74	-4,879	0,62	0,000
51,70	8,505	10,000	226,49	1471,33	7,1903	0,0000	24,74	-4,879	0,62	0,000
52,81	8,688	10,000	226,22	1469,54	7,1986	0,0000	24,74	-4,879	0,62	0,000
53,95	8,888	10,000	225,92	1467,59	7,2089	0,0000	24,74	-4,879	0,62	0,000
55,07	9,073	10,000	225,64	1465,80	7,2251	0,0000	24,74	-4,879	0,62	0,000
56,20	9,256	10,000	225,37	1464,01	7,2327	0,0000	24,74	-4,879	0,62	0,000
57,32	9,438	10,000	225,09	1462,24	7,2366	0,0000	24,74	-4,879	0,62	0,000
58,45	9,621	10,000	224,82	1460,45	7,2416	0,0000	24,74	-4,879	0,62	0,000
59,56	9,821	10,000	224,52	1458,50	7,2502	0,0000	24,74	-4,879	0,62	0,000
60,70	10,005	10,000	224,24	1456,71	7,2617	0,0000	24,74	-4,879	0,62	0,000
61,82	10,188	10,000	223,97	1454,93	7,2705	0,0000	24,74	-4,879	0,62	0,000
62,95	10,373	10,000	223,69	1453,13	7,2842	0,0000	24,74	-4,879	0,62	0,000
64,07	10,556	10,000	223,42	1451,34	7,2911	0,0000	24,74	-4,879	0,62	0,000
65,20	10,755	10,000	223,12	1449,41	7,3034	0,0000	24,74	-4,879	0,62	0,000
66,32	10,938	10,000	222,84	1447,62	7,3113	0,0000	24,74	-4,879	0,62	0,000
67,45	11,121	10,000	222,57	1445,83	7,3287	0,0000	24,74	-4,879	0,62	0,000
68,57	11,305	10,000	222,29	1444,05	7,3388	0,0000	24,74	-4,879	0,62	0,000
69,70	11,488	10,000	222,02	1442,26	7,3537	0,0000	24,73	-4,879	0,62	0,000
70,82	11,688	10,000	221,72	1440,31	7,3716	0,0000	24,73	-4,879	0,62	0,000
71,95	11,871	10,000	221,44	1438,53	7,3856	0,0000	24,73	-4,879	0,62	0,000
73,07	12,055	10,000	221,17	1436,74	7,3994	0,0000	24,73	-4,879	0,62	0,000
74,20	12,239	10,000	220,89	1434,94	7,4078	0,0000	24,73	-4,879	0,62	0,000
75,32	12,421	10,000	220,62	1433,17	7,4087	0,0000	24,73	-4,879	0,62	0,000
76,45	12,623	10,000	220,32	1431,20	7,4162	0,0000	24,73	-4,879	0,62	0,000
77,57	12,805	10,000	220,04	1429,43	7,4141	0,0000	24,73	-4,879	0,62	0,000
78,70	12,988	10,000	219,77	1427,64	7,4237	0,0000	24,73	-4,879	0,62	0,000
79,82	13,171	10,000	219,49	1425,86	7,4402	0,0000	24,73	-4,879	0,62	0,000
80,95	13,356	10,000	219,22	1424,06	7,4523	0,0000	24,73	-4,879	0,62	0,000
82,07	13,555	10,000	218,92	1422,12	7,4588	0,0000	24,73	-4,879	0,62	0,000
83,20	13,738	10,000	218,64	1420,34	7,4585	0,0000	24,73	-4,879	0,62	0,000
84,32	13,923	10,000	218,37	1418,54	7,4717	0,0000	24,73	-4,879	0,62	0,000
85,45	14,106	10,000	218,09	1416,75	7,4873	0,0000	24,73	-4,879	0,62	0,000
86,57	14,288	10,000	217,82	1414,98	7,4968	0,0000	24,73	-4,879	0,62	0,000
87,70	14,488	10,000	217,52	1413,03	7,5060	0,0000	24,73	-4,879	0,62	0,000
88,82	14,671	10,000	217,24	1411,24	7,5248	0,0000	24,73	-4,879	0,62	0,000
89,95	14,855	10,000	216,97	1409,46	7,5379	0,0000	24,73	-4,879	0,62	0,000
91,07	15,038	10,000	216,69	1407,67	7,5489	0,0000	24,73	-4,879	0,62	0,000
92,20	15,222	10,000	216,42	1405,87	7,5506	0,0000	24,73	-4,879	0,62	0,000
93,32	15,422	10,000	216,12	1403,92	7,5652	0,0000	24,73	-4,879	0,62	0,000
94,45	15,606	10,000	215,84	1402,14	7,5805	0,0000	24,73	-4,879	0,62	0,000
95,57	15,789	10,000	215,57	1400,35	7,5930	0,0000	24,73	-4,879	0,62	0,000
96,70	15,971	10,000	215,29	1398,58	7,5964	0,0000	24,73	-4,879	0,62	0,000
97,82	16,154	10,000	215,02	1396,79	7,6059	0,0000	24,73	-4,879	0,62	0,000
98,95	16,338	10,000	214,74	1395,00	7,6175	0,0000	24,73	-4,879	0,62	0,000
100,07	16,538	10,000	214,44	1393,05	7,6336	0,0000	24,73	-4,879	0,62	0,000
101,20	16,722	10,000	214,17	1391,26	7,6441	0,0000	24,73	-4,879	0,62	0,000
102,32	16,904	10,000	213,89	1389,48	7,6493	0,0000	24,73	-4,879	0,62	0,000
103,45	17,088	10,000	213,62	1387,69	7,6601	0,0000	24,73	-4,879	0,62	0,000
104,57	17,271	10,000	213,34	1385,91	7,6638	0,0000	24,73	-4,879	0,62	0,000
105,70	17,472	10,000	213,04	1383,95	7,6727	0,0000	24,73	-4,879	0,62	0,000
106,82	17,656	10,000	212,77	1382,16	7,6799	0,0000	24,73	-4,879	0,62	0,000
107,95	17,838	10,000	212,49	1380,39	7,6946	0,0000	24,73	-4,879	0,62	0,000
109,07	18,022	10,000	212,22	1378,59	7,7050	0,0000	24,73	-4,879	0,62	0,000
110,20	18,206	10,000	211,94	1376,80	7,7164	0,0000	24,73	-4,879	0,62	0,000
111,32	18,404	10,000	211,64	1374,87	7,7290	0,0000	24,73	-4,879	0,62	0,000
