Name           :	Sample3	
User           :		
Date           :	2023-xx-xx	

Probe1         :		
Perimeter      : 		

Probe2         :		
Perimeter      : 		

Trough         :		
Width          :		
Area           :		
Symmetric comp :		

Subphase       :		
Surface tension:		
pH             :		
Temperature    :		

Addition       :		
Concentration  :		
Unit           :	         	

Substance1     :		
MW             :		
Concentration  :		
Unit           :	           	
Volume         :		

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
0,02	0,000	0,000	239,25	2590,34	2,5594	0,0000	24,46	-4,879	0,62	0,000
1,06	0,108	10,000	239,09	2588,59	2,5606	0,0000	24,46	-4,879	0,62	0,000
2,18	0,291	10,000	238,81	2585,61	2,5578	0,0000	24,46	-4,879	0,62	0,000
3,18	0,458	10,000	238,56	2582,90	2,5602	0,0000	24,45	-4,879	0,62	0,000
4,29	0,641	10,000	238,29	2579,93	2,5646	0,0000	24,45	-4,879	0,62	0,000
5,41	0,824	10,000	238,01	2576,95	2,5700	0,0000	24,45	-4,879	0,62	0,000
6,52	1,008	10,000	237,74	2573,97	2,5791	0,0000	24,45	-4,879	0,62	0,000
7,64	1,191	10,000	237,46	2570,99	2,5912	0,0000	24,45	-4,879	0,62	0,000
8,65	1,358	10,000	237,21	2568,29	2,5963	0,0000	24,46	-4,879	0,62	0,000
9,76	1,541	10,000	236,94	2565,31	2,5994	0,0000	24,46	-4,879	0,62	0,000
10,89	1,740	10,000	236,64	2562,08	2,6102	0,0000	24,46	-4,879	0,62	0,000
11,89	1,906	10,000	236,39	2559,38	2,6144	0,0000	24,46	-4,879	0,62	0,000
12,99	2,090	10,000	236,12	2556,40	2,6161	0,0000	24,46	-4,879	0,62	0,000
14,13	2,272	10,000	235,84	2553,44	2,6212	0,0000	24,46	-4,879	0,62	0,000
15,26	2,456	10,000	235,57	2550,44	2,6187	0,0000	24,46	-4,879	0,62	0,000
16,37	2,638	10,000	235,29	2547,49	2,6176	0,0000	24,46	-4,879	0,62	0,000
17,50	2,838	10,000	234,99	2544,24	2,6304	0,0000	24,46	-4,879	0,62	0,000
18,62	3,022	10,000	234,72	2541,26	2,6381	0,0000	24,46	-4,879	0,62	0,000
19,76	3,206	10,000	234,44	2538,27	2,6454	0,0000	24,46	-4,879	0,62	0,000
20,86	3,388	10,000	234,17	2535,31	2,6574	0,0000	24,46	-4,879	0,62	0,000
21,98	3,572	10,000	233,89	2532,33	2,6649	0,0000	24,46	-4,879	0,62	0,000
23,13	3,755	10,000	233,62	2529,35	2,6738	0,0000	24,46	-4,879	0,62	0,000
24,25	3,955	10,000	233,32	2526,11	2,6851	0,0000	24,46	-4,879	0,62	0,000
25,37	4,138	10,000	233,04	2523,13	2,6930	0,0000	24,46	-4,879	0,62	0,000
26,49	4,322	10,000	232,77	2520,15	2,6944	0,0000	24,46	-4,879	0,62	0,000
27,50	4,490	10,000	232,52	2517,42	2,7061	0,0000	24,46	-4,879	0,62	0,000
28,61	4,673	10,000	232,24	2514,45	2,7173	0,0000	24,46	-4,879	0,62	0,000
29,74	4,856	10,000	231,97	2511,47	2,7258	0,0000	24,46	-4,879	0,62	0,000
30,86	5,038	10,000	231,69	2508,51	2,7252	0,0000	24,46	-4,879	0,62	0,000
31,97	5,222	10,000	231,42	2505,54	2,7369	0,0000	24,46	-4,879	0,62	0,000
33,08	5,422	10,000	231,12	2502,29	2,7546	0,0000	24,46	-4,879	0,62	0,000
34,20	5,606	10,000	230,84	2499,29	2,7701	0,0000	24,46	-4,879	0,62	0,000
35,21	5,773	10,000	230,59	2496,58	2,7795	0,0000	24,46	-4,879	0,62	0,000
36,33	5,956	10,000	230,32	2493,61	2,7796	0,0000	24,46	-4,879	0,62	0,000
37,44	6,138	10,000	230,04	2490,65	2,7890	0,0000	24,46	-4,879	0,62	0,000
38,57	6,322	10,000	229,77	2487,67	2,7900	0,0000	24,46	-4,879	0,62	0,000
39,69	6,505	10,000	229,49	2484,69	2,7997	0,0000	24,46	-4,879	0,62	0,000
40,81	6,706	10,000	229,19	2481,43	2,8056	0,0000	24,46	-4,879	0,62	0,000
41,95	6,888	10,000	228,92	2478,47	2,8108	0,0000	24,47	-4,879	0,62	0,000
43,06	7,072	10,000	228,64	2475,49	2,8171	0,0000	24,47	-4,879	0,62	0,000
44,20	7,256	10,000	228,37	2472,49	2,8303	0,0000	24,47	-4,879	0,62	0,000
45,31	7,438	10,000	228,09	2469,54	2,8509	0,0000	24,47	-4,879	0,62	0,000
46,46	7,639	10,000	227,79	2466,27	2,8559	0,0000	24,47	-4,879	0,62	0,000
47,57	7,823	10,000	227,52	2463,29	2,8700	0,0000	24,47	-4,879	0,62	0,000
48,69	8,005	10,000	227,24	2460,34	2,8616	0,0000	24,47	-4,879	0,62	0,000
49,81	8,188	10,000	226,97	2457,36	2,8727	0,0000	24,47	-4,879	0,62	0,000
