Name           :	Sample1	
User           :		
Date           :	2023-xx-xx	

Probe1         :		
Perimeter      : 		

Probe2         :		
Perimeter      : 		

Trough         :		
Width          :		
Area           :		
Symmetric comp :		

Subphase       :		
Surface tension:		
pH             :		
Temperature    :		

Addition       :		
Concentration  :		
Unit           :	         	

Substance1     :		
MW             :		
Concentration  :		
Unit           :	           	
Volume         :		

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
0,03	0,000	0,000	239,25	2280,83	0,9946	0,0000	24,92	-4,879	0,63	0,000
1,07	0,109	10,000	239,09	2279,28	0,9962	0,0000	24,92	-4,879	0,63	0,000
2,18	0,291	10,000	238,81	2276,67	0,9829	0,0000	24,92	-4,879	0,63	0,000
3,18	0,459	10,000	238,56	2274,27	0,9790	0,0000	24,92	-4,879	0,63	0,000
4,28	0,641	10,000	238,29	2271,67	0,9790	0,0000	24,92	-4,879	0,63	0,000
5,40	0,824	10,000	238,01	2269,05	0,9864	0,0000	24,92	-4,879	0,63	0,000
6,49	1,008	10,000	237,74	2266,42	0,9925	0,0000	24,92	-4,879	0,63	0,000
7,49	1,174	10,000	237,49	2264,04	1,0018	0,0000	24,92	-4,879	0,63	0,000
8,58	1,356	10,000	237,22	2261,44	0,9931	0,0000	24,92	-4,879	0,63	0,000
9,68	1,541	10,000	236,94	2258,80	0,9867	0,0000	24,92	-4,879	0,63	0,000
10,82	1,723	10,000	236,67	2256,20	0,9856	0,0000	24,92	-4,879	0,63	0,000
11,92	1,905	10,000	236,39	2253,59	0,9850	0,0000	24,92	-4,879	0,63	0,000
12,92	2,072	10,000	236,14	2251,21	0,9840	0,0000	24,92	-4,879	0,63	0,000
14,03	2,256	10,000	235,87	2248,57	0,9906	0,0000	24,92	-4,879	0,63	0,000
15,12	2,438	10,000	235,59	2245,97	0,9897	0,0000	24,92	-4,879	0,63	0,000
16,25	2,622	10,000	235,32	2243,34	0,9909	0,0000	24,92	-4,879	0,63	0,000
17,34	2,806	10,000	235,04	2240,70	0,9969	0,0000	24,92	-4,879	0,63	0,000
18,45	2,988	10,000	234,77	2238,10	0,9941	0,0000	24,92	-4,879	0,63	0,000
19,58	3,172	10,000	234,49	2235,48	0,9978	0,0000	24,92	-4,879	0,63	0,000
20,71	3,356	10,000	234,22	2232,84	1,0034	0,0000	24,92	-4,879	0,63	0,000
21,83	3,556	10,000	233,92	2229,98	1,0059	0,0000	24,92	-4,879	0,63	0,000
22,92	3,740	10,000	233,64	2227,36	1,0104	0,0000	24,92	-4,879	0,63	0,000
24,04	3,923	10,000	233,37	2224,74	1,0084	0,0000	24,92	-4,879	0,63	0,000
25,17	4,105	10,000	233,09	2222,13	1,0189	0,0000	24,92	-4,879	0,63	0,000
26,27	4,288	10,000	232,82	2219,51	1,0271	0,0000	24,92	-4,879	0,63	0,000
27,40	4,472	10,000	232,54	2216,89	1,0234	0,0000	24,92	-4,879	0,63	0,000
28,50	4,655	10,000	232,27	2214,27	1,0238	0,0000	24,92	-4,879	0,63	0,000
29,59	4,838	10,000	231,99	2211,65	1,0313	0,0000	24,92	-4,879	0,63	0,000
30,69	5,023	10,000	231,72	2209,01	1,0372	0,0000	24,92	-4,879	0,63	0,000
31,80	5,205	10,000	231,44	2206,40	1,0410	0,0000	24,92	-4,879	0,63	0,000
32,91	5,388	10,000	231,17	2203,78	1,0480	0,0000	24,92	-4,879	0,63	0,000
34,03	5,573	10,000	230,89	2201,14	1,0490	0,0000	24,92	-4,879	0,63	0,000
